city,dizh,jingwd,lianxDianh,name,province,province_city,shengyMianj,shijMianj
赣州市,赣州市开发区香港工业园北区香江大道西中橙股分,"114.864267,25.864313",18650887799,赣州,江西省,江西省赣州市,0,6000
上饶市,上饶县经济开发区世纪大道大鼎集团内,"117.900190,28.437992",0793-8656586,上饶,江西省,江西省上饶市,0,5000
济南市,济南市济阳县崔寨镇,"117.111421,36.848851",18678781201,济南,山东省,山东省济南市,0,100000
淄博市,新村东路198号,"118.116880,36.794041",15863062237,淄博,山东省,山东省淄博市,6000,20000
青岛市,即墨市海尔路100号,"120.363275,36.340837",13969788066,即墨,山东省,山东省青岛市,0,58800
济宁市,李营镇,"116.590712,35.468364",13563732256,济宁,山东省,山东省济宁市,8000,65000
潍坊市,镇海大街116号,"119.173058,36.993293",18563618505,潍坊,山东省,山东省潍坊市,50000,50000
烟台市,翔宇路9号,"121.406150,37.415729",15063026311,烟台,山东省,山东省烟台市,3000,20000
临沂市,开发区杭州路23号,"118.466057,35.005553",18669625990,临沂,山东省,山东省临沂市,5000,100000
郑州市,郑州市经开区第二十二大街与南三环交叉口向南300米,"113.829765,34.692860",18539263728,郑州,河南省,河南省郑州市,24000,72000
洛阳市,协和路与伊洛大道交叉口,"112.559491,34.587230",15639757778,洛阳,河南省,河南省洛阳市,12000,24000
鹤壁市,鹤壁市淇滨区107国道与浚大线交叉口瑞丰物流园,"114.257559,35.711225",18539263776,鹤壁,河南省,河南省鹤壁市,20000,20000
漯河市,桃园路5号,"114.131121,33.577311",13838182327,漯河,河南省,河南省漯河市,0,18200
南阳市,伏牛路溧河物流园,"112.539879,32.942704",13838182327,南阳,河南省,河南省南阳市,0,6320
