exname,logo,name,placefrom,placeto,time
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,0.7
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.2
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,0.8
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.2
kuaijiesudi,http://www.kuaidi.com/data/upload/201407/kjkd_logo.gif,快捷快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.1
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,0.6
suer,http://www.kuaidi.com/data/upload/201407/sewl_logo.gif,速尔快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.9
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.1
youshuwuliu,http://www.kuaidi.com/data/upload/201407/yskd_logo.gif,优速快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.6
youzhengguonei,http://www.kuaidi.com/data/upload/201407/yzgn_logo.gif,邮政快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,0.7
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,0.7
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1.2
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,1
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-芜湖县,0.8
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-弋江区,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-弋江区,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-弋江区,1.2
