exname,logo,name,placefrom,placeto,time
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-肥西县,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.6
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.3
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐阳区,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.6
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.3
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.6
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.3
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-长丰县,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.6
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.3
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-庐江县,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.6
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.3
quanfengkuaidi,http://www.kuaidi.com/data/upload/201407/qfkd_logo.gif,全峰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.3
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.9
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.5
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.8
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.5
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,1.1
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.2
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-合肥市-巢湖市,0.9
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.2
kuaijiesudi,http://www.kuaidi.com/data/upload/201407/kjkd_logo.gif,快捷快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.1
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,0.6
suer,http://www.kuaidi.com/data/upload/201407/sewl_logo.gif,速尔快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.9
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.1
youshuwuliu,http://www.kuaidi.com/data/upload/201407/yskd_logo.gif,优速快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.6
youzhengguonei,http://www.kuaidi.com/data/upload/201407/yzgn_logo.gif,邮政快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,0.7
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,0.7
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1.2
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,1
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-繁昌县,0.8
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.2
kuaijiesudi,http://www.kuaidi.com/data/upload/201407/kjkd_logo.gif,快捷快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.1
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,0.6
suer,http://www.kuaidi.com/data/upload/201407/sewl_logo.gif,速尔快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.9
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.1
youshuwuliu,http://www.kuaidi.com/data/upload/201407/yskd_logo.gif,优速快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.6
youzhengguonei,http://www.kuaidi.com/data/upload/201407/yzgn_logo.gif,邮政快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,0.7
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,0.7
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1.2
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,1
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-鸠江区,0.8
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.2
kuaijiesudi,http://www.kuaidi.com/data/upload/201407/kjkd_logo.gif,快捷快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.1
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,0.6
suer,http://www.kuaidi.com/data/upload/201407/sewl_logo.gif,速尔快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.9
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.1
youshuwuliu,http://www.kuaidi.com/data/upload/201407/yskd_logo.gif,优速快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.6
youzhengguonei,http://www.kuaidi.com/data/upload/201407/yzgn_logo.gif,邮政快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,0.7
yuantong,http://www.kuaidi.com/data/upload/201407/yt_logo.gif,圆通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,0.7
yunda,http://www.kuaidi.com/data/upload/201407/yd_logo.gif,韵达快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1.2
zhaijisong,http://www.kuaidi.com/data/upload/201407/zjs_logo.gif,宅急送,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,1
zhongtong,http://www.kuaidi.com/data/upload/201407/zt_logo.gif,中通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-镜湖区,0.8
ems,http://www.kuaidi.com/data/upload/201407/emss_logo.gif,ems快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1
guotongkuaidi,http://www.kuaidi.com/data/upload/201407/guotong_logo.gif,国通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.2
huitongkuaidi,http://www.kuaidi.com/data/upload/201407/htky_logo.gif,百世快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.2
kuaijiesudi,http://www.kuaidi.com/data/upload/201407/kjkd_logo.gif,快捷快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.1
shentong,http://www.kuaidi.com/data/upload/201407/st_logo.gif,申通快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1
shunfeng,http://www.kuaidi.com/data/upload/201407/sf_logo.gif,顺丰快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,0.6
suer,http://www.kuaidi.com/data/upload/201407/sewl_logo.gif,速尔快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.9
tiantian,http://www.kuaidi.com/data/upload/201407/tt_logo.gif,天天快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.1
youshuwuliu,http://www.kuaidi.com/data/upload/201407/yskd_logo.gif,优速快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,1.6
youzhengguonei,http://www.kuaidi.com/data/upload/201407/yzgn_logo.gif,邮政快递,安徽省-合肥市-瑶海区,安徽省-芜湖市-三山区,0.7
